match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1360,India,Australia,307,263,8,10,away,away,India,44,runs,Day and night,Wills International Cup,Sachin Tendulkar,India,"Bangabandhu National Stadium, Dhaka",Australia,field first,,Dhaka,Dhaka,Bangladesh,28-10-1998
ODI # 1361,West Indies,Pakistan,289,259,9,9,away,away,West Indies,30,runs,Day and night,Wills International Cup,Keith Arthurton,West Indies,"Bangabandhu National Stadium, Dhaka",West Indies,bat first,,Dhaka,Dhaka,Bangladesh,29-10-1998
ODI # 1363,India,West Indies,242,245,6,4,away,away,West Indies,6,wickets,Day and night,Wills International Cup,Mervyn Dillon,West Indies,"Bangabandhu National Stadium, Dhaka",India,bat first,18,Dhaka,Dhaka,Bangladesh,31-10-1998
ODI # 1364,West Indies,South Africa,245,248,10,6,away,away,South Africa,4,wickets,Day and night,Wills International Cup,Jacques Kallis,South Africa,"Bangabandhu National Stadium, Dhaka",South Africa,field first,18,Dhaka,Dhaka,Bangladesh,01-11-1998
ODI # 1365,Australia,Pakistan,324,238,8,10,away,home,Australia,86,runs,Day,Australia tour of Pakistan,Darren Lehmann,Australia,"National Stadium, Karachi",Pakistan,field first,,Karachi,Karachi,Pakistan,06-11-1998
ODI # 1366,Sri Lanka,India,245,248,7,7,away,away,India,3,wickets,Day and night,Coca-Cola Champions Trophy,Mohammad Azharuddin,India,Sharjah Cricket Association Stadium,India,field first,5,Sharjah,Sharjah,United Arab Emirates,06-11-1998
ODI # 1367,Sri Lanka,Zimbabwe,196,197,10,3,away,away,Zimbabwe,7,wickets,Day and night,Coca-Cola Champions Trophy,Eddo Brandes,Zimbabwe,Sharjah Cricket Association Stadium,Zimbabwe,field first,23,Sharjah,Sharjah,United Arab Emirates,07-11-1998
ODI # 1368,Pakistan,Australia,217,220,7,5,home,away,Australia,5,wickets,Day,Australia tour of Pakistan,Brendon Julian,Australia,"Arbab Niaz Stadium, Peshawar",Pakistan,bat first,11,Peshawar,Peshawar,Pakistan,08-11-1998
ODI # 1369,Zimbabwe,India,196,197,10,3,away,away,India,7,wickets,Day and night,Coca-Cola Champions Trophy,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,India,field first,56,Sharjah,Sharjah,United Arab Emirates,08-11-1998
ODI # 1370,India,Sri Lanka,179,98,10,10,away,away,India,81,runs,Day and night,Coca-Cola Champions Trophy,Ajit Agarkar,India,Sharjah Cricket Association Stadium,Sri Lanka,field first,,Sharjah,Sharjah,United Arab Emirates,09-11-1998
